CVE_ID,Package,Version,CVSSv3,Rating,Severity,Vector,Summary,Published,Link,OS
CVE-2017-8794,file,5.47,10.0,CRITICAL,CRITICAL,,"An issue was discovered on Accellion FTA devices before FTA_9_12_180. Because a regular expression (intended to match local https URLs) lacks an initial ^ character, courier/web/1000@/wmProgressval.ht",2017-05-05T18:29:00.447,https://nvd.nist.gov/vuln/detail/CVE-2017-8794,all
CVE-2020-25213,file,5.47,10.0,CRITICAL,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H,The File Manager (wp-file-manager) plugin before 6.9 for WordPress allows remote attackers to upload and execute arbitrary PHP code because it renames an unsafe example elFinder connector file to have,2020-09-09T16:15:12.127,https://nvd.nist.gov/vuln/detail/CVE-2020-25213,all
CVE-2023-6825,file,5.47,9.9,CRITICAL,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H,"The File Manager and File Manager Pro plugins for WordPress are vulnerable to Directory Traversal in versions up to, and including version 7.2.1 (free version) and 8.3.4 (Pro version) via the target p",2024-03-13T16:15:08.850,https://nvd.nist.gov/vuln/detail/CVE-2023-6825,all
CVE-2014-6271,bash-completion,2.17.0,9.8,CRITICAL,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,"GNU Bash through 4.3 processes trailing strings after function definitions in the values of environment variables, which allows remote attackers to execute arbitrary code via a crafted environment, as",2014-09-24T18:48:04.477,https://nvd.nist.gov/vuln/detail/CVE-2014-6271,all
CVE-2014-7169,bash-completion,2.17.0,9.8,CRITICAL,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,"GNU Bash through 4.3 bash43-025 processes trailing strings after certain malformed function definitions in the values of environment variables, which allows remote attackers to write to files or possi",2014-09-25T01:55:04.367,https://nvd.nist.gov/vuln/detail/CVE-2014-7169,all
CVE-2015-2857,file,5.47,9.8,CRITICAL,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,Accellion File Transfer Appliance before FTA_9_11_210 allows remote attackers to execute arbitrary code via shell metacharacters in the oauth_token parameter.,2017-08-22T15:29:00.210,https://nvd.nist.gov/vuln/detail/CVE-2015-2857,all
CVE-2016-2351,file,5.47,9.8,CRITICAL,CRITICAL,,SQL injection vulnerability in home/seos/courier/security_key2.api on the Accellion File Transfer Appliance (FTA) before FTA_9_12_40 allows remote attackers to execute arbitrary SQL commands via the c,2016-05-07T14:59:04.790,https://nvd.nist.gov/vuln/detail/CVE-2016-2351,all
CVE-2017-8303,file,5.47,9.8,CRITICAL,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,An issue was discovered on Accellion FTA devices before FTA_9_12_180. seos/1000/find.api allows Remote Code Execution with shell metacharacters in the method parameter.,2017-05-05T18:29:00.167,https://nvd.nist.gov/vuln/detail/CVE-2017-8303,all
CVE-2017-8790,file,5.47,9.8,CRITICAL,CRITICAL,,"An issue was discovered on Accellion FTA devices before FTA_9_12_180. The home/seos/courier/ldaptest.html POST parameter ""filter"" can be used for LDAP Injection.",2017-05-05T18:29:00.340,https://nvd.nist.gov/vuln/detail/CVE-2017-8790,all
CVE-2017-8789,file,5.47,9.8,CRITICAL,CRITICAL,,An issue was discovered on Accellion FTA devices before FTA_9_12_180. A report_error.php?year='payload SQL injection vector exists.,2017-05-05T18:29:00.307,https://nvd.nist.gov/vuln/detail/CVE-2017-8789,all
